Speaker,Script,Position1,Function1,Position2,Function2,Match,Agreement,
*FRED:,(.) Yeah . ,,,,,,,
*RICH:,Like I'd see something ,,,,,,,
,I'd want it ,,,,,,,
,and I'd go after her ,,,,,,,
,where I ,,,,,,,
,w- I had a beautiful woman ,,,,,,,
,I shouldn't have (..) thought like that at all . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) This what a lady told me that ,,,,,,,
,that was a therapist . ,,,,,,,
*RICH:,She said she was gonna get me somebody to go talk to and everything . ,,,,,,,
*RICH:,She said it po- +/. ,,,,,,,
*RICH:,Ma- +/. ,,,,,,,
*RICH:,(.) possibily was I was uh ,,,,,,,
,not satisfied with myself . ,,,,,,,
*RICH:,(..) I wasn't happy with myself for some reason ,,,,,,,
,a:nd that I just acted out of impulse . ,,,,,,,
*FRED:,(.) Yeah . ,,,,,,,
*RICH:,&=in &=tsk . ,,,,,,,
*FRED:,(.) &=in Wow . ,,,,,,,
*RICH:,(..) So: ,,,,,,,
,I don't know . ,,,,,,,
*RICH:,ʔi:- it is a problem ,,,,,,,
,because I ,,,,,,,
,ʔuh: I I did have a nice old lady and um ,,,,,,,
,(..) &=in (..) &=tsk Kind of mis⌈s her and e⌉verything . ,,,,,,,
*FRED:,                                ⌊ X ⌋ . ,,,,,,,
*RICH:,It's lonely coming home after putting in t- twelve hours on the lot . ,,,,,,,
*RICH:,And working all day and ,,,,,,,
,you know ,,,,,,,
,working all evening ,,,,,,,
,and then you don't have any:body to come home and share it with . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*FRED:,(..) &=in Y- are y- +/. ,,,,,,,
*FRED:,Are you working twelve hours ? ,,,,,,,
*FRED:,(.) You're ⌈ gonna be ⌉ . ,,,,,,,
*RICH:,           ⌊ Yeah ⌋ . ,,,,,,,
*FRED:,You're ⌈2 gonna be do⌉2ing that ? ,,,,,,,
*RICH:,       ⌊2 Yeah ⌋2 . ,,,,,,,
*FRED:,(.) ⌈3 Nine to nine ⌉3 ? ,,,,,,,
*RICH:,    ⌊3 Definitely ⌋3 . ,,,,,,,
*RICH:,Nine to nine . ,,,,,,,
*RICH:,&{l=X Well I mean- &}l=X ,,,,,,,
,If I want . ,,,,,,,
*RICH:,(.) That's a +/. ,,,,,,,
*RICH:,⌈ That's ⌉ up to me . ,,,,,,,
*FRED:,⌊ Yeah ⌋ . ,,,,,,,
*RICH:,Basically ,,,,,,,
,you know ,,,,,,,
,they're gonna give us a shift . ,,,,,,,
*RICH:,Either ,,,,,,,
,&=in nine in the morning ,,,,,,,
,to three in the afternoon ,,,,,,,
,&=in (.) or: ,,,,,,,
,or th- ,,,,,,,
,(..) two in the afternoon ,,,,,,,
,to nine in the evening . ,,,,,,,
*RICH:,(..) ⌈ See ⌉ . ,,,,,,,
*FRED:,     ⌊ Unhunh ⌋ . ,,,,,,,
*RICH:,&=in (.) So if I wanted to come in before two ,,,,,,,
,if I was on the ,,,,,,,
,the evening shift ,,,,,,,
,I would come in at nine ,,,,,,,
,and work nine to nine . ,,,,,,,
*RICH:,&=in (..) If I was on the evening shift ,,,,,,,
,from two to nine ,,,,,,,
,I could come in and (.) work from nine to nine . ,,,,,,,
*FRED:,(.) &=in So ,,,,,,,
,um ,,,,,,,
,(..) when you went last week ,,,,,,,
,and you applied right . ,,,,,,,
*RICH:,(..) Mhm ? ,,,,,,,
*FRED:,they ,,,,,,,
,they hired you . ,,,,,,,
*RICH:,(..) Right on the spot . ,,,,,,,
*FRED:,(..) Right on the spot . ,,,,,,,
*RICH:,He gave me interview ,,,,,,,
,he talked to me ,,,,,,,
,told me w:hy I w:anted to get into sales ,,,,,,,
,and if ,,,,,,,
,(.) if I felt I could sell ,,,,,,,
,&=in if I had any experience ,,,,,,,
,and everyth⌈ing and ⌉ . ,,,,,,,
*FRED:,           ⌊ &=in You ⌋ told him about all the cars ,,,,,,,
,that you had ⌈2 owned and sold ⌉2 . ,,,,,,,
*RICH:,             ⌊2 Yeah ,,,,,,,
,I told him that I had ⌋2 done . ,,,,,,,
*FRED:,(.) C- y- ⌈3 sh- you- sh- ⌉3 +... ,,,,,,,
*RICH:,          ⌊3 so- sold ⌋3 cars all through my (..) early years ,,,,,,,
