speaker,script,position1,function1,position2,function2,match,agreement,corpus
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,What,,,,,,,sbcsae
,what does uh,,,,,,,sbcsae
,your sisters say,,,,,,,sbcsae
*RICH:,N they tell me to stay away from her,,,,,,,sbcsae
,don't even call or anything,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,Wait till she calls you and everything,,,,,,,sbcsae
*RICH:,But uh,UI,T3,TI,I1,UNMATCH,T3,sbcsae
,you know,,,,,,,sbcsae
,that's not right,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,That's hard man,,,,,,,sbcsae
*RICH:,I mean,,,,,,,sbcsae
,if she accepts me calling her,,,,,,,sbcsae
,and she doesn't tell me,,,,,,,sbcsae
,don't call me or ,,,,,,,sbcsae
*FRED:,They're telling you that,,,,,,,sbcsae
,why,,,,,,,sbcsae
*FRED:,To,,,,,,,sbcsae
,like uh,,,,,,,sbcsae
*RICH:,Cause they feel that,,,,,,,sbcsae
,she's gonna get too strong,,,,,,,sbcsae
,by me,,,,,,,sbcsae
,you know uh,,,,,,,sbcsae
,kissing her ass,,,,,,,sbcsae
*FRED:,Oh,,,,,,,sbcsae
*RICH:,or something or or or,,,,,,,sbcsae
*FRED:,Exactly,,,,,,,sbcsae
*RICH:,crawling back,,,,,,,sbcsae
*FRED:,I see,,,,,,,sbcsae
*RICH:,and begging her,,,,,,,sbcsae
,uh you know,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,for me to come back or,,,,,,,sbcsae
*FRED:,She gonna get the upper hand,,,,,,,sbcsae
*RICH:,Exactly,,,,,,,sbcsae
*RICH:,Which,,,,,,,sbcsae
,which,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,uh she probably already does,,,,,,,sbcsae
*RICH:,But,UI,T1,UI,I2,UNMATCH,T1,sbcsae
,um,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,I'm not gonna just wait for her to call me,,,,,,,sbcsae
,because it's not right,,,,,,,sbcsae
,I have feelings for her,,,,,,,sbcsae
,I wanna know,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,how she's doing,,,,,,,sbcsae
*FRED:,doing,,,,,,,sbcsae
*RICH:,I'm gonna communicate with her,,,,,,,sbcsae
*RICH:,That's all there is to it,,,,,,,sbcsae
*RICH:,It's not like I w,,,,,,,sbcsae
*RICH:,I'm asking her,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,let me move back in or,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,I'm sorry I,,,,,,,sbcsae
*FRED:,You just,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,I just wanna remain friends with her,,,,,,,sbcsae
,and find out how she's doing,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
