@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*SEAN:,       ⌊ But she comes downtown ⌋ . ,TI,T2,TI,T2,MATCH,
*BERN:,You stay in the Village . ,,,,,,
*FRAN:,(.) &=in Yeah⌈: . ,,,,,,
*BERN:,             ⌊ X ⌋ . ,,,,,,
*FRAN:,well ⌉ it's: convenient ,,,,,,
,And it's XXXX . ,,,,,,
*FRAN:,(..) &{l=P So &}l=P ,,,,,,
,(..) If I go off for t- some dinner party uptown or something ,,,,,,
,I might go to a meeting uptown ,,,,,,
,but mostly I'm downtown . ,UI,T1,UI,T1,MATCH,
*FRAN:,(..) &{l=PP So &}l=PP . ,,,,,,
*ALIC:,(..) &{l=P New York ? ,,,,,,
*ALIC:,(..) Oh wow . ,,,,,,
*ALIC:,(..) Greenwich Village &}l=P . ,,,,,,
*FRAN:,(..) &=in Yes . ,,,,,,
*BERN:,(..) Our New York connection ,,,,,,
,we can all: like remember through y- Fran . ,,,,,,
*ALIC:,(..) &{l=P Oh: &}l=P . ,,,,,,
*FRAN:,&=laugh &=laugh &=laugh &=laugh ,,,,,,
,(..) &=in &{l=X Well &}l=X ,,,,,,
,the neighborhood's probably the same . ,,,,,,
*FRAN:,since it's a ⌈ historic ⌉ district . ,,,,,,
*ENV:,             ⌊ &}n=DOG_BARKING ⌋ . ,,,,,,
*FRAN:,and they won't &{l=@ let em tear anything down &}l=@ . ,,,,,,
*X:,&=TS &=lengthened . ,,,,,,
*FRAN:,You could find your way around ,,,,,,
,ex⌈cept ⌉ that +... ,,,,,,
*SEAN:,  ⌊ Your- ⌋ +... ,,,,,,
*FRAN:,&=in . ,,,,,,
*SEAN:,Your building's new . ,,,,,,
*SEAN:,Isn't it ? ,,,,,,
*FRAN:,(.) N:o . ,,,,,,
*FRAN:,My building's old . ,,,,,,
*FRAN:,I don't know when my building was built . ,,,,,,
*SEAN:,Fif⌈ties ⌉ ? ,,,,,,
*FRAN:,   ⌊ Nineteen- ⌋ ten ? ,,,,,,
*FRAN:,(.) No . ,,,,,,
*ALIC:,(..) Nine⌈teen-ten ⌉ . ,,,,,,
*SEAN:,         ⌊ Oh: ,,,,,,
,wow⌋: . ,,,,,,
*SEAN:,No I'm- ,,,,,,
,⌈ I'm thinking of a different buil⌉⌈2ding in ⌉2 +... ,,,,,,
*FRAN:,⌊ Nineteen-twenty: ⌋ . ,,,,,,
*BERN:,                                   ⌊2 So is it a ⌋2 big a⌈3partment ⌉3 ? ,,,,,,
*SEAN:,                                                         ⌊3 She's ⌋3 just moving into a new apartment . ,,,,,,
*SEAN:,(..) She and her hus⌈4band ⌉4 . ,,,,,,
*FRAN:,                    ⌊4 Ab⌋4out a hundred and ninety (..) apartments . ,,,,,,
*FRAN:,Seventeen stories . ,,,,,,
*BERN:,(..) I mean i- +/. ,,,,,,
*BERN:,Are they big ,,,,,,
,(..) like rooms ,,,,,,
,⌈ is it big ⌉ . ,,,,,,
*FRAN:,⌊ &=in ⌋ Yeah . ,,,,,,
*FRAN:,There are: ,,,,,,
,(..) ⌈ We're⌉: in . ,,,,,,
*ENV:,     ⌊ &=DOG_BARK ⌋ . ,,,,,,
*FRAN:,(..) the +/. ,,,,,,
*FRAN:,Up in the penthouse . ,,,,,,
*FRAN:,There are (.) ⌈ some ⌉ larger apartments . ,,,,,,
*ENV:,              ⌊ &=DOG_BARK ⌋ . ,,,,,,
*FRAN:,because people have bought (.) neighboring apartments ,,,,,,
,and (.) expanded and mixed them . ,,,,,,
*FRAN:,&=in (.) You know ,,,,,,
,but ,UI,T1,UI,T1,MATCH,
,(..) they:'re mostly ,,,,,,
,(..) well there're some studios ,,,,,,
,and some one-bedrooms ,,,,,,
,and two-bed⌈rooms ⌉ . ,,,,,,
*SEAN:,           ⌊ And has it ⌋ always been an apartment house ? ,,,,,,
*FRAN:,(.) &{l=P Yeah &}l=P . ,,,,,,
*ENV:,(..) &=DOG_BARK . ,,,,,,
*ALIC:,(.) What- +/. ,,,,,,
*ALIC:,What is the real ʔe- (.) estate market doing . ,,,,,,
*ALIC:,&{l=P Is it ⌈ down now &}l=P ⌉ ? ,,,,,,
*FRAN:,            ⌊ &=in W⌋e:ll ,,,,,,
,(.) it's down in general . ,,,,,,
*ALIC:,(..) In ⌈ New York ⌉ . ,,,,,,
*FRAN:,        ⌊ But cer⌋tain areas ,TI,T1,TI,T1,MATCH,
,yeah . ,,,,,,
*FRAN:,Certain are⌈as s⌉:ort of held their val⌈2ue ⌉2 . ,,,,,,
*ENV:,           ⌊ &=DOG_BARK ⌋ ,,,,,,
,                                     ⌊2 &=DOG_BARK ⌋2 . ,,,,,,
*FRAN:,&=in And what happened would be: ,,,,,,
,rather than have it ,,,,,,
,(..) things (.) kinda crashing . ,,,,,,
*FRAN:,S- ʔa- +/. ,,,,,,
*FRAN:,(.) ʔW- +/. ,,,,,,
*FRAN:,(.) ʔuh It would just +/. ,,,,,,
*FRAN:,(.) ʔuh Things would be slow to sell . ,,,,,,
*FRAN:,(..) But ,UI,T4,UI,T4,MATCH,
,(.) they would ho- +/. ,,,,,,
*FRAN:,(.) The Village is one of the few areas that held its value . ,,,,,,
*FRAN:,(..) &=in U:m ,,,,,,
,&=in (.) but ,UI,T4,UI,T4,MATCH,
,certain things are a drug on the ⌈ mar⌉ket . ,,,,,,
*ENV:,                                 ⌊ &=DOG_BARK ⌋ . ,,,,,,
*FRAN:,(.) If you have a (.) studio apartment ,,,,,,
,(..) you're stuck with it . ,,,,,,
*SEAN:,(.) &=laugh . ,,,,,,
*ALIC:,For the rest of your life . ,,,,,,
*ALIC:,(..) Like ⌈ herpes ⌉ . ,,,,,,
*FRAN:,          ⌊ C:er⌋tainly for the next ten years . ,,,,,,
*FRAN:,&=in A:nd ,,,,,,
,(.) ⌈ a:nd ⌉ . ,,,,,,
*SEAN:,    ⌊ &=laugh &=laugh ⌋ . ,,,,,,
*FRAN:,if you have a one-be:droom ,,,,,,
,(.) it has to have something kinda going for it . ,,,,,,
*FRAN:,Or you're gonna be s:orta stuck . ,,,,,,
*FRAN:,You could be stuck with it . ,,,,,,
*FRAN:,&=in U:m ,,,,,,
,(..) two-bedrooms and (.) up (..) are ,,,,,,
,(..) are f- +/. ,,,,,,
*FRAN:,(..) easy to se- ,,,,,,
,easier (.) to sell . ,,,,,,
*ALIC:,(..) Cause Beth . ,,,,,,
*ALIC:,(..) You know ,,,,,,
,(.) ⌈ my friend . ,,,,,,
*SEAN:,    ⌊ &{l=X Eddie's still in New York or some other state &}l=X ⌋ ? ,,,,,,
*ALIC:,she just sold one ,,,,,,
,&=in ⌋ (.) at a fifty-thousand-dollar loss . ,,,,,,
*ALIC:,From (.) four years ago . ,,,,,,
*BERN:,X⌈XXX ⌉ . ,,,,,,
*ALIC:, ⌊ That she ⌋ bought . ,,,,,,
*FRAN:,(..) Yeah . ,,,,,,
*FRAN:,&=in Well w⌈e: +... ,,,,,,
*ALIC:,           ⌊ On (.) Sutton ⌋ Place . ,,,,,,
*FRAN:,(.) Uh ⌉ . ,,,,,,
*ALIC:,Where's Sutton Place . ,,,,,,
*FRAN:,Yeah ,,,,,,
,Sutton Place is up on the East ⌈ Side ⌉ . ,,,,,,
*SEAN:,                               ⌊ ʔE- ⌋ +... ,,,,,,
*FRAN:,now ⌈2 see the Upper East ⌉2 Side (.) ⌈3 took one of the ⌉3 +... ,,,,,,
*SEAN:,    ⌊2 East Side &{l=X isn't it &}l=X ⌋2 ? ,,,,,,
*BERN:,                                      ⌊3 Real ni:ce ⌋3 ⌈4 Sutton Pla⌉4⌈5ce ⌉5 . ,,,,,,
*SEAN:,                                                       ⌊4 It's nice ⌋4 . ,,,,,,
*FRAN:,                                                                      ⌊5 One of the ⌋5 hardest hits fo:r (..) dropped values . ,,,,,,
*BERN:,Because it (.) had soared so high: . ,,,,,,
*FRAN:,Th- (.) They +/. ,,,,,,
*FRAN:,(.) Two things . ,,,,,,
*FRAN:,They had soared r:eally ⌈ high ⌉ . ,,,,,,
*BERN:,                        ⌊ That ⌋ ch- +... ,,,,,,
*FRAN:,And ,,,,,,
,there was an awful lot +/. ,,,,,,
*FRAN:,Because they (..) soared so high ,,,,,,
,that (.) area (.) had &=in less: (..) zoning ,,,,,,
,(..) ⌈ uh: ⌉ . ,,,,,,
*ALIC:,     ⌊ Restric⌋tions . ,,,,,,
*FRAN:,restrictions . ,,,,,,
*FRAN:,And they w- +/. ,,,,,,
*FRAN:,(.) There was (.) ʔuh +/. ,,,,,,
*FRAN:,There was a lotta building in the area . ,,,,,,
*FRAN:,(.) &=in And so ,,,,,,
,(..) between those two things ,,,,,,
,that (..) market (..) wa⌈s ⌉ . ,,,,,,
*BERN:,                        ⌊ Lot⌋ta new buildings . ,,,,,,
*FRAN:,(.) Yeah . ,,,,,,
*FRAN:,(..) &=in And the new buildings are: ,,,,,,
,(..) I don't like the new buildings . ,,,,,,
*ALIC:,Do you like living in New York ? ,,,,,,
*FRAN:,(..) Yeah . ,,,,,,
*FRAN:,I love it . ,,,,,,
*FRAN:,(..) &=in We traveled all over . ,,,,,,
*FRAN:,We looked around . ,,,,,,
*FRAN:,We thought ,,,,,,
,&=in my husband and I stayed out on the road ,,,,,,
,(..) fo:r two years . ,,,,,,
*FRAN:,(..) And we went all over the United States ,,,,,,
,and we d- ,,,,,,
,(..) we didn't find any place we liked ⌈ better ⌉ . ,,,,,,
