@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*FRAN:,That was the last sea⌈3son there ⌉3 . ,,,,,,
*BERN:,                     ⌊3 Cause I was ⌋3 there ,,,,,,
,I- I (.) was there ,,,,,,
,(..) just as Lincoln Center ⌈ was being f⌉inished . ,,,,,,
*ENV:,                            ⌊ &=DOG_BARK ⌋ . ,,,,,,
*BERN:,⌈2 and ⌉2 . ,,,,,,
*SEAN:,⌊2 I'm hun⌋2⌈3gry ⌉3 . ,,,,,,
*FRAN:,            ⌊3 So that would ⌋3 have been sixty-⌈4six ⌉4 . ,,,,,,
*ALIC:,                                                ⌊4 So goo:d ⌋4 . ,,,,,,
*BERN:,(..) &{l=P Was it that late &}l=P ? ,,,,,,
*BERN:,(..) I have it written down some place . ,,,,,,
*BERN:,Those years are all ⌈ foggy ⌉ . ,,,,,,
*FRAN:,                    ⌊ Sixty-f⌋i:ve . ,,,,,,
*BERN:,(..) Sixty-five ,,,,,,
,sixty-si⌈x ⌉ . ,,,,,,
*FRAN:,        ⌊ S⌋omething like that . ,,,,,,
*BERN:,(.) And Leontyne Price sang Cleopatra ⌈ in ⌉ . ,,,,,,
*FRAN:,                                      ⌊ Oh ⌋ my⌈2: ⌉2 . ,,,,,,
*BERN:,                                               ⌊2 One of the ⌋2 . ,,,,,,
*FRAN:,(.) &=tsk (..) Mm: . ,,,,,,
*FRAN:,That would have been won⌈derful to see ⌉ . ,,,,,,
*SEAN:,                        ⌊ Th- was it the old ⌋ opera house ,,,,,,
,⌈2 or the new one ⌉2 . ,,,,,,
*BERN:,⌊2 No the new ⌋2 . ,,,,,,
*BERN:,Lincoln ⌈3 Center ⌉3 . ,,,,,,
*SEAN:,        ⌊3 Oh ⌋3 . ,,,,,,
*BERN:,It had just . ,,,,,,
*FRAN:,(..) It⌈'s ⌉ +... ,,,,,,
*BERN:,       ⌊ just ⌋ been opened . ,,,,,,
*FRAN:,(..) &=in Well I like it . ,,,,,,
*FRAN:,(..) I mean . ,,,,,,
*BERN:,(.) &{l=FOOD Oh ,,,,,,
,so you got to go to the old one &}l=FOOD . ,,,,,,
*FRAN:,(..) Ye⌈ah . ,,,,,,
*BERN:,       ⌊ The one that's from (..) eigh⌋teen . ,,,,,,
*FRAN:,But the: ⌉ ,TI,T4,TI,T4,MATCH,
,(..) ʔuh I don't know when it- +/. ,,,,,,
*FRAN:,You know ,,,,,,
,they tore it down ,,,,,,
,and I don't (.) remember +/. ,,,,,,
*FRAN:,⌈ I was too new ⌉ +... ,,,,,,
*ALIC:,⌊ You'll [% laugh] be able to see in the movie ⌋ ,,,,,,
,if: you ⌈2 recognize ⌉2 . ,,,,,,
*FRAN:,        ⌊2 I was too ⌋2 new in New York ,,,,,,
,(..) to: (..) understand what it meant . ,,,,,,
*FRAN:,⌈ You know ⌉ . ,,,,,,
*SEAN:,⌊ Mm ⌋ . ,,,,,,
*FRAN:,(..) So . ,,,,,,
*ALIC:,(..) Well I grew up in Philadelphia ,,,,,,
,and that's too close to New York . ,,,,,,
*SEAN:,(..) ⌈ &=laugh ⌉ . ,,,,,,
*ALIC:,     ⌊ I ⌋ used to go there (.) a:ll the time . ,,,,,,
*FRAN:,(.) Mhm . ,,,,,,
*ALIC:,(..) On the train . ,,,,,,
*ALIC:,(..) Every Wednesday . ,,,,,,
*ALIC:,(.) On theater day . ,,,,,,
*SEAN:,(..) Oh you went a lo:t . ,,,,,,
*ALIC:,(..) A:ll the time . ,,,,,,
*ALIC:,Cause I was &{l=X this ⌈ theater &}l=X ⌉ +... ,,,,,,
*BERN:,                       ⌊ And all ⌋ that ⌈2 time you never learned ⌉2 to &{l=@ get a cab &}l=@ . ,,,,,,
*ALIC:,                                        ⌊2 I love theater ⌋2 . ,,,,,,
*BERN:,⌈3 &=laugh &=laugh &=laugh &=laugh ⌉3 ⌈4 &=laugh ⌉4 ⌈5 &=laugh &=laugh &=laugh ⌉5 . ,,,,,,
*ALIC:,⌊3 &=laugh &=laugh No [% laugh] ⌋3 . ,,,,,,
*ALIC:,                                      ⌊4 (.) Oh ⌋4  ⌊5 no . ,,,,,,
*FRAN:,                                      ⌊4 Right ⌋4 . ,,,,,,
*SEAN:,                                      ⌊4 &=laugh ⌋4 . ,,,,,,
*ALIC:,I would &{l=VOX walk &}l=VOX ⌋5 ,,,,,,
,⌈6 I ⌉6 mean . ,,,,,,
*BERN:,⌊6 &=laugh ⌋6 ⌈7 &=laugh ⌉7 ⌈8 &=laugh ⌉8 . ,,,,,,
*ALIC:,              ⌊7 &{l=VOX I wouldn't ⌋7 ⌊8 take a ⌋8 cab when I was you:ng &}l=VOX . ,,,,,,
*SEAN:,              ⌊7 &=laugh ⌋7 ,,,,,,
,(..) I'm not good at cabs [% laugh] . ,,,,,,
*SEAN:,&=laugh &=laugh &=laugh . ,,,,,,
*FRAN:,(..) Next time you come to New York . ,,,,,,
*ALIC:,&=laugh &=laugh &=laugh . ,,,,,,
*FRAN:,(.) you must call me my dear ,,,,,,
,I ⌈ will give ⌉ you taxi les⌈2sons ⌉2 . ,,,,,,
*ALIC:,  ⌊ &=in ⌋ ,,,,,,
,                          ⌊2 &=laugh &=laugh ⌋2 . ,,,,,,
*FRAN:,(.) &=laugh &=laugh &=laugh &=laugh ,,,,,,
,(..) See what you do is ,,,,,,
,you sort of sidle up to em ,,,,,,
,and you give em a bump . ,,,,,,
*FRAN:,(..) And then you get in . ,,,,,,
*SEAN:,&=laugh ⌈ &=laugh &=laugh ⌉ . ,,,,,,
*FRAN:,        ⌊ &=laugh &=laugh ⌋ . ,,,,,,
*ALIC:,⌈2 &=laugh &=laugh ⌉2 &=laugh &=laugh &=laugh . ,,,,,,
*BERN:,⌊2 &=laugh &=laugh ⌋2 ,,,,,,
,&=laugh ⌈3 &=laugh &=laugh ⌉3 ⌈4 &=laugh ⌉4 . ,,,,,,
*ALIC:,        ⌊3 I have ⌋3          ⌊4 box⌋4⌈5ing gl⌉5oves . ,,,,,,
*FRAN:,                              ⌊4 &=laugh ⌋4 ⌊5 &=laugh ⌋5 . ,,,,,,
*ALIC:,⌈6 every⌉6thing . ,,,,,,
*FRAN:,⌊6 &{l=X Right &}l=X ⌋6 . ,,,,,,
*BERN:,(.) &=laugh &=laugh &=laugh . ,,,,,,
*SEAN:,(..) &=tsk I never had trouble . ,,,,,,
*ALIC:,Something spray: ,,,,,,
,You're big . ,,,,,,
*ALIC:,⌈ You're a big ⌉ ⌈2 man ⌉2 . ,,,,,,
*SEAN:,⌊ Yeah ,,,,,,
,that's ⌋       ⌊2 true ⌋2 . ,,,,,,
*BERN:,                 ⌊2 No ⌋2 . ,,,,,,
*ALIC:,⌈3 I'm this ⌉3 lit⌈4tle person you know ⌉4 . ,,,,,,
*BERN:,⌊3 It was ⌋3 +/. ,,,,,,
*BERN:,                  ⌊4 It was a game ⌋4 . ,,,,,,
*BERN:,(..) To me it was like a game ,,,,,,
,&{l=X Do I &}l=X get it or not . ,,,,,,
*ALIC:,I never got it . ,,,,,,
*SEAN:,(.) &=laugh &=laugh &=laugh &=laugh . ,,,,,,
*ALIC:,(.) I mean really . ,,,,,,
*ALIC:,(..) I'm used to getting what I want . ,,,,,,
*ALIC:,But n- [% laugh] &=laugh &=ex . ,UI,T1,UI,T1,MATCH,
*SEAN:,(..) &=laugh . ,,,,,,
*ALIC:,(..) &{l=P Not ⌈ cabs &}l=P ⌉ . ,,,,,,
*BERN:,               ⌊ I ⌋ couldn't have been greener when I went . ,,,,,,
*BERN:,I mean this California . ,,,,,,
*FRAN:,(..) &=laugh &=laugh &=laugh ⌊ &=laugh &=laugh ⌋ . ,,,,,,
*BERN:,         ⌈ you know ⌉ ,,,,,,
,all I knew was the beach . ,,,,,,
*BERN:,(..) &=laugh &=laugh ,,,,,,
,(..) &{l=@ And there I was ,,,,,,
,in New York city &}l=@ . ,,,,,,
*BERN:,&=laugh . ,,,,,,
*FRAN:,(..) Did ⌊ you like it ⌋ ? ,,,,,,
*SEAN:,         ⌊ &{l=X Hair school &}l=X ⌋ ? ,,,,,,
*FRAN:,(..) How ⌈2 long did you ⌉2 stay . ,,,,,,
*BERN:,         ⌊2 Loved it ⌋2 . ,,,,,,
*BERN:,Four years . ,,,,,,
*FRAN:,(..) Where'd you live . ,,,,,,
*BERN:,(..) Eighty-first (..) and First . ,,,,,,
*FRAN:,(.) Mhm ? ,,,,,,
*BERN:,(..) then ,,,,,,
,(.) S:ixty:- (..) fourth and (..) Second . ,,,,,,
*FRAN:,(.) Mhm ? ,,,,,,
*BERN:,(..) and then ,,,,,,
,(..) the Lower East Side . ,,,,,,
*BERN:,(..) West (..) Tenth . ,,,,,,
*FRAN:,(..) Well ,,,,,,
,that's not the Lower East Side . ,,,,,,
*FRAN:,West Tenth is the ⌈ Village ⌉ . ,,,,,,
*BERN:,                  ⌊ Oh no ⌋ wait . ,,,,,,
*BERN:,Not West Tenth ,,,,,,
,it must've been ,,,,,,
,(..) &{l=P Forget ⌈ my last address &}l=P ⌉ . ,,,,,,
*FRAN:,                  ⌊ East Tenth ⌋ ? ,,,,,,
*BERN:,(..) Yeah . ,,,,,,
*BERN:,(.) East Tenth . ,,,,,,
*FRAN:,(..) Mhm ? ,,,,,,
*BERN:,(..) That's right . ,,,,,,
*BERN:,(..) It changes . ,,,,,,
*FRAN:,(..) Right ,,,,,,
,at Fifth Avenue . ,,,,,,
*BERN:,(..) I think between First and Second or . ,,,,,,
*FRAN:,Mhm ? ,,,,,,
*BERN:,(..) I wasn't down in A's bee's and cee's . ,,,,,,
*FRAN:,Righ⌈t . ,,,,,,
*BERN:,    ⌊ It wasn't down that far ⌋ . ,,,,,,
*FRAN:,Alphabet city ⌉ . ,,,,,,
*BERN:,(.) Yeah . ,,,,,,
*FRAN:,Right . ,,,,,,
*ALIC:,(..) Do you have any kids ? ,,,,,,
*ALIC:,&{l=P Did you ever manage kids &}l=P ? ,,,,,,
*FRAN:,My (.) husband has two children . ,,,,,,
*FRAN:,(..) A:nd . ,,,,,,
*ALIC:,Did ⌈ you raise em in New York ⌉ ? ,,,,,,
*ENV:,    ⌊ &{n=DOGS_BARKING ⌋ . ,,,,,,
*ALIC:,(..) I was gonna say ,,,,,,
,⌈ is that poss⌉ible [% laugh] ? ,,,,,,
*FRAN:,⌊ I didn't ⌋ +... ,,,,,,
*ALIC:,&=laugh &=laugh can [% laugh] any⌈2body [% laugh] ⌉2 . ,,,,,,
*FRAN:,                                 ⌊2 It is ⌋2 possible . ,,,,,,
*FRAN:,(.) &=THROAT ,,,,,,
,And they were raised partly in New York . ,,,,,,
*FRAN:,But n- +/. ,UI,T3,UI,T1,UNMATCH,T3
*FRAN:,But not by me . ,UI,T3,UI,T1,UNMATCH,T3
*FRAN:,(..) But ,UI,T4,UI,T4,MATCH,
,(..) u:m ,,,,,,
,(..) I have (.) been- (..) been clever enough to have grandchildren ,,,,,,
,and skip that interim step of having to raise children . ,,,,,,
*FRAN:,So ,,,,,,
,&=laugh &=laugh ⌈ &=laugh &=in . ,,,,,,
*ALIC:,                ⌊ Oh ,,,,,,
,right to the ⌋ +... ,,,,,,
*FRAN:,so I'm ⌋ the grandmother ,,,,,,
,&=in . ,,,,,,
*BERN:,Oh so ⌈ you get ⌉ to be a . ,,,,,,
*FRAN:,      ⌊ and I ⌋ +... ,,,,,,
*BERN:,(..) ⌈2 a grandma ⌉2 . ,,,,,,
*FRAN:,     ⌊2 Uh ,,,,,,
,yes ,,,,,,
,I get to be ⌋2 a grandmother and ,,,,,,
,&=in I b:a⌈3bysit . ,,,,,,
*ALIC:,          ⌊3 A grandmother ⌋3 . ,,,,,,
*FRAN:,and I see ⌉3 the kids ,,,,,,
,and they come: ,,,,,,
,you know: ,,,,,,
,and it's ⌈ wonderful ⌉ . ,,,,,,
*BERN:,         ⌊ How long have you ⌋ been married . ,,,,,,
*ENV:,&}n=DOGS_BARKING . ,,,,,,
*FRAN:,T- I'll be ten years in: ,,,,,,
,next month . ,,,,,,
*BERN:,(..) Ah: . ,,,,,,
*FRAN:,(.) So ,,,,,,
,(..) It's great . ,,,,,,
*FRAN:,(..) We get along great . ,,,,,,
*FRAN:,I mean ,,,,,,
,(..) delight +... ,,,,,,
*BERN:,(..) that- that- that- +/. ,,,,,,
*BERN:,(.) ⌈ That helps ⌉ . ,,,,,,
*SEAN:,    ⌊ That's wonder⌋ful . ,,,,,,
*ALIC:,⌈2 That ⌉2 ⌈3 is ⌉3 . ,,,,,,
*BERN:,⌊2 &=laugh ⌋2 ⌊3 &=laugh ⌋3 . ,,,,,,
*FRAN:,           ⌊3 Well ⌋3 . ,,,,,,
*ALIC:,⌈4 That's ⌉4 +... ,,,,,,
*FRAN:,⌊4 I was ⌋4 the world's oldest bride . ,,,,,,
*FRAN:,I mean ,,,,,,
,I waited ,,,,,,
,and waited . ,,,,,,
*FRAN:,&{l=@ And waited . ,,,,,,
*FRAN:,and waited ,,,,,,
,&=in and everyone had given up &}l=@ . ,,,,,,
*FRAN:,&=in &=laugh &=laugh &=in ,,,,,,
,But ,UI,T4,UI,T4,MATCH,
,(..) when I finally did it ,,,,,,
,I'm (.) I'm ,,,,,,
,(.) ʔuh I'm: delighted that I waited . ,,,,,,
*FRAN:,(..) You know . ,,,,,,
*FRAN:,(..) so . ,,,,,,
*SEAN:,(..) Sure . ,,,,,,
*SEAN:,Found somebody fun . ,,,,,,
*FRAN:,⌈ Mhm ⌉ ? ,,,,,,
*SEAN:,⌊ somebody with ⌋ (..) interests and . ,,,,,,
*BERN:,(..) &{l=FOOD A good writer &}l=FOOD ? ,,,,,,
*FRAN:,(.) M⌈hm ⌉ ? ,,,,,,
*ALIC:,     ⌊ A bad ⌋ ⌈2 name ⌉2 though . ,,,,,,
*BERN:,               ⌊2 &=THROAT ⌋2 . ,,,,,,
*ALIC:,Larry . ,,,,,,
*ALIC:,(..) That ⌈ was my ⌉ husband's name . ,,,,,,
*SEAN:,          ⌊ The ⌋ +... ,,,,,,
*BERN:,&=laugh &=laugh ⌈2 &=laugh &=laugh &=laugh ⌉2 ⌈3 &=laugh &=laugh ⌉3 . ,,,,,,
*FRAN:,                ⌊2 &{l=X oh yeah &}l=X ⌋2 ? ,,,,,,
*ALIC:,                                              ⌊3 I'm sor⌋3ry . ,,,,,,
*ALIC:,(.) Ugh . ,,,,,,
*ALIC:,(..) . ,,,,MATCH,38,
@End,,,,,UNMATCH,11,
